round_name,heat_id,heat_name,competition_competitor_id,bib_number,lap_number,rank,lap_time,total_time,result_diff,json_source
Preliminaries,facc70a8-06d9-42b5-aabf-977ea04e54a1,Heat 5,9a11aa40-3413-4817-a662-2c5c700ff511,68,1,4,8.100,8.100,+0.360,seoul_woman
Preliminaries,facc70a8-06d9-42b5-aabf-977ea04e54a1,Heat 5,9a11aa40-3413-4817-a662-2c5c700ff511,68,2,3,9.690,17.790,+0.300,seoul_woman
Preliminaries,facc70a8-06d9-42b5-aabf-977ea04e54a1,Heat 5,9a11aa40-3413-4817-a662-2c5c700ff511,68,3,3,9.000,26.790,+0.190,seoul_woman
Preliminaries,facc70a8-06d9-42b5-aabf-977ea04e54a1,Heat 5,9a11aa40-3413-4817-a662-2c5c700ff511,68,4,2,9.240,36.030,+0.120,seoul_woman
Preliminaries,facc70a8-06d9-42b5-aabf-977ea04e54a1,Heat 5,9a11aa40-3413-4817-a662-2c5c700ff511,68,5,2,9.532,45.562,+0.059,seoul_woman
Preliminaries,facc70a8-06d9-42b5-aabf-977ea04e54a1,Heat 5,7cb688bb-5c6c-4a9e-b4a8-880eced53c45,55,1,2,7.850,7.850,+0.110,seoul_woman
Preliminaries,facc70a8-06d9-42b5-aabf-977ea04e54a1,Heat 5,7cb688bb-5c6c-4a9e-b4a8-880eced53c45,55,2,2,9.710,17.560,+0.070,seoul_woman
Preliminaries,facc70a8-06d9-42b5-aabf-977ea04e54a1,Heat 5,7cb688bb-5c6c-4a9e-b4a8-880eced53c45,55,3,2,9.110,26.670,+0.070,seoul_woman
Preliminaries,facc70a8-06d9-42b5-aabf-977ea04e54a1,Heat 5,7cb688bb-5c6c-4a9e-b4a8-880eced53c45,55,4,3,9.430,36.100,+0.190,seoul_woman
Preliminaries,facc70a8-06d9-42b5-aabf-977ea04e54a1,Heat 5,7cb688bb-5c6c-4a9e-b4a8-880eced53c45,55,5,3,9.751,45.851,+0.348,seoul_woman
Preliminaries,facc70a8-06d9-42b5-aabf-977ea04e54a1,Heat 5,499b3fda-e391-479f-a02c-df47ec4040b7,109,1,3,8.080,8.080,+0.340,seoul_woman
